timestamp_kst,market,cycle_id,t_sec,event,price,detail
2026-09-06T18:45:15+09:00,KRW-ZAMA,9,N/A,stage6,77.8,"pre-Stage8 runtime generation"
2026-09-06T18:46:00+09:00,KRW-ZAMA,9,N/A,post_stage6_low,77.6,"return=-0.2571%; entry-minute pre-signal low excluded"
2026-09-06T23:01:00+09:00,KRW-ZAMA,9,N/A,first_plus10_minute,86.2,"stage6 target=85.58; exact crossing second=N/A; delay lower bound=4h15m45s"
2026-09-06T23:03:00+09:00,KRW-ZAMA,9,N/A,post_stage6_high,87.6,"return=+12.5964%; stage8 reference/outcome=N/A"
2026-09-06T23:39:00+09:00,KRW-ZAMA,9,N/A,outcome,80.5,"latest stage6 return=+3.4704%; classification=delayed_success"
2026-09-06T23:04:27+09:00,KRW-BONK,8,1788703467,stage1,0.00496,"rolling60_ratio=5.20184"
2026-09-06T23:11:28+09:00,KRW-BONK,8,1788703467,stage4_stage5,0.00513,"rise_pct=0.78585;T_plus_ticks=17;trades10=35;bid=27005229;ask=5308872;net=21696358;bid_share=83.57%"
2026-09-06T23:11:32+09:00,KRW-BONK,8,1788703467,stage6,0.00516,"stage5_to_stage6=4s"
2026-09-06T23:11:40+09:00,KRW-BONK,8,1788703467,stage7,0.00519,"stage6 rise=+0.5814%;elapsed=8s"
2026-09-06T23:11:44+09:00,KRW-BONK,8,1788703467,stage8,0.00522,"elapsed_from_stage6=12s;T02_duplicate=false"
2026-09-06T23:11:44+09:00,KRW-BONK,8,1788703467,paper_buy_started,N/A,"async paper route accepted; average fill/quantity/spend/status not persisted to radar or GitHub"
2026-09-06T23:33:53.933+09:00,KRW-BONK,8,1788703467,outcome,0.00531,"high=0.00543;low=0.00515;stage6 max/min/latest=+5.2326%/-0.1938%/+2.9070%;stage8 max/min/latest=+4.0230%/-1.3410%/+1.7241%;plus10=false;actual paper fill=N/A"
2026-09-06T23:03:00+09:00,KRW-ZAMA,4,N/A,outcome_update,87.6,"stage6_ref=81.8 max=+7.0905%;stage8_signal_ref=82.7 max=+5.9250%;plus10=false"
2026-09-06T23:29:00+09:00,KRW-ZAMA,4,N/A,outcome_update,80.1,"stage6 min=-2.0782%;stage8_signal min=-3.1439%;actual paper fill=N/A"
2026-09-06T23:19:09+09:00,KRW-ZAMA,3,1788704220,stage5,83.8,"T=83;3s rise=0.47962%;T+8ticks;49 trades;bid=16746399.57;ask=6961384.06;stage6 after source cutoff=N/A"
2026-09-06T23:20:05+09:00,ALL,N/A,N/A,delta_summary,N/A,"rows=3155;stage1=423;stage2=248;stage3=248;stage4_reject=28;stage4=2;stage5=2;stage6=1;stage7=1;stage8=1;paper_buy_started=1;reset=204;drop=71;F03=0;N01=0;T02=0;reserve=0;t_handover=0"
